Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
"0,7330251667","-0,2327523294","0,05709784158","-0,287536245","0,3743139091"
"0,7429791666","-0,2066393952","0,03077791594","-0,1051007777","0,2338659728"
"0,7529331667","-0,07562170199","-0,0132152921","-0,01065187275","0,07750321381"
"0,7628881666","-0,04381522884","-0,006334252171","-0,1209104794","0,1287604018"
"0,7728421667","-0,09350499993","0,06012677237","-0,2627703631","0,2853185544"
"0,7827961666","-0,1528435128","0,04755675707","-0,3870581943","0,4188517999"
"0,7927511667","-0,1582224761","0,004596496224","-0,2916912764","0,3318723858"
"0,8027051666","-0,1399863718","0,007647427171","-0,06786220014","0,1557560453"
"0,8126591668","-0,06017776192","-0,01417884015","0,123639375","0,1382356596"
"0,8226141667","0,04638734592","0,0114902173","0,08842802703","0,1005153069"
"0,8325681665","-0,0211840055","0,06127735823","-0,03868693292","0,07550069867"
"0,8425221667","-0,0610117713","0,05560548596","-0,1404448575","0,1629084537"
"0,8524771666","-0,03754650203","0,09105028398","-0,3402266747","0,3541949805"
"0,8624311667","-0,1153121176","0,1879546176","-0,4788606495","0,5271919426"
"0,8723851666","-0,1525710508","0,1403738504","-0,4430569786","0,4891648288"
"0,8823401667","-0,07645984554","0,04178592067","-0,2155546814","0,2324994448"
"0,8922941666","-0,04676661094","0,05347424895","-0,06988241315","0,09965020254"
"0,9022491667","-0,03200176558","0,07938823164","-0,05547662795","0,1020012773"
"0,9122031666","-0,1014064064","0,039945071","-0,04523464501","0,1180044112"
"0,9221571668","-0,09400045096","0,0454192343","0,05873352706","0,1197857205"
"0,9321121667","-0,02944300574","0,06645810094","0,06537771821","0,09776408239"
"0,9420661665","-0,01019968199","0,05386542767","-0,02187267959","0,05902484158"
"0,9520201667","-0,02001965355","0,02782971326","-0,05643732548","0,06603371242"
"0,9619751666","-0,04674383878","0,04255351391","-0,06197229981","0,08852318314"
"0,9719291667","-0,08114047771","0,07935113836","-0,1234762377","0,1677103502"
"0,9818831666","-0,1285611865","0,1134424887","-0,09962193668","0,1982970176"
"0,9918381667","-0,07576021705","0,0676291886","0,03741691768","0,1082282004"
"1,001792167","0,05829822013","0,04761409633","-0,01043435633","0,07599118654"
"1,011746167","0,01916494137","0,06499388505","-0,08569854677","0,1092508169"
"1,021701167","-0,04406479075","0,08827340472","-0,03670531154","0,1052671823"
"1,031655167","-0,03385821316","0,111184294","-0,0513215965","0,1270520842"
"1,041609167","-0,01123022862","0,1184449644","-0,13571446","0,1804819722"
"1,051564167","-0,007104095214","0,09008092526","-0,1510031748","0,1759744301"
"1,061518167","-0,0279923892","0,05336088605","-0,1512113357","0,1627753853"
"1,071472167","-0,05377875184","0,06052489467","-0,1048318058","0,1324580105"
"1,081427167","-0,1341075903","0,08968799237","0,00988822639","0,1616371207"
"1,091381167","-0,1514285689","0,09271798298","0,113311438","0,2106340851"
"1,101335167","-0,09795095776","0,1039139026","0,01107638061","0,1432311959"
"1,111290167","-0,08788800012","0,07404658087","-0,1133482754","0,1614157001"
"1,121244167","-0,08381970847","-0,004681390487","-0,1544483542","0,1757895135"
"1,131199167","-0,08269515186","0,03377965719","-0,1828722543","0,2035234993"
"1,141153167","-0,1242821302","0,06631882757","-0,2111985058","0,2538681618"
"1,151107167","-0,1496800869","-0,02561168164","-0,2178573149","0,2655595909"
"1,161062167","-0,1809986602","-0,03538365807","-0,09669540524","0,2082366914"
"1,171016167","-0,1204947241","0,01827433962","0,035102005","0,1268269718"
"1,180970167","-0,04382214043","0,06187406659","0,1885200799","0,203195966"
"1,190925167","0,05994417479","0,09465710241","0,3149438989","0,3342797191"
"1,200879167","0,07447699076","0,09587650269","0,3311289918","0,3526833355"
"1,210833167","0,01109145546","0,06273572691","0,3158098716","0,322171797"
"1,220788167","0,04841831689","0,06900763314","0,3131277537","0,3242766982"
"1,230742167","0,05943302765","0,1081915428","0,2366906118","0,2669459504"
"1,240696167","0,02587960746","0,1185136326","0,1668584847","0,2062934539"
"1,250651167","-0,03144340674","0,1218091234","0,04968963861","0,1352597891"
"1,260605167","-0,01987972009","0,09238439932","-0,06647114754","0,1155356826"
"1,270559167","-0,02880057262","0,09189356212","-0,02967929721","0,1007708312"
"1,280514167","-0,0505541129","0,1312136023","0,001540741324","0,1406239725"
"1,290468167","-0,01802712117","0,1690462936","-0,03821272373","0,1742464884"
"1,300422167","0,01094192206","0,146291598","-0,05115144253","0,1553622457"
"1,310377167","0,01681463249","0,1388158232","-0,03724325538","0,144705303"
"1,320331167","-0,01179042614","0,1731706637","0,01814449489","0,1745173791"
"1,330285167","-0,009973614011","0,1709844628","-0,01704580307","0,1721212332"
"1,340240167","-0,02442673425","0,120145152","-0,05331842065","0,1336950892"
"1,350194167","-0,09154004311","0,1007319575","-0,06087009966","0,1491029033"
"1,360149167","-0,1186653313","0,09428532913","-0,05511936307","0,1612740783"
"1,370103167","-0,09337228641","0,07366161481","-0,05403470457","0,1306298843"
"1,380057167","-0,02908974255","0,112484532","-0,05148882687","0,1270829743"
"1,390012167","-0,00814525363","0,137522748","-0,06855275631","0,153877652"
"1,399966167","-0,07102877805","0,1253878752","-0,1002645457","0,1755567876"
"1,409920167","-0,08596859677","0,1187094413","-0,1195100713","0,1891168639"
"1,419875167","-0,07138141997","0,1140620743","-0,1148100793","0,1768808023"
"1,429829167","-0,0486261854","0,07665060181","-0,177366516","0,1992453303"
"1,439783167","-0,002972852346","0,03995000459","-0,1824693811","0,1868151914"
"1,449738167","0,02339500219","0,03845852606","-0,06124724507","0,07601058731"
"1,459692167","0,117434666","0,06103762239","0,005922644734","0,1324823379"
"1,469646167","0,1794300715","0,06137208313","-0,05132744372","0,1964591296"
"1,479601167","0,1561610403","0,07389396854","-0,0883865118","0,1940586626"
"1,489555167","0,1005600311","0,05817946684","-0,1481947571","0,188305221"
"1,499509167","-0,02939160049","0,02129837338","-0,2023271102","0,2055571609"
"1,509464167","-0,1466434542","0,0635036125","-0,1860952395","0,2452925797"
"1,519418167","-0,120617068","0,07850460771","-0,1048756599","0,1780740143"
"1,529372167","0,0001179995527","0,04033296067","-0,01600441396","0,04339242914"
"1,539327083","0,06503394761","0,08265642319","0,009715148807","0,1056214124"
"1,549281083","0,01001765085","0,1066464892","0,01909759104","0,1088050779"
"1,559235083","-0,04478514031","0,0292745968","-0,0306633836","0,0616680947"
"1,569190083","-0,08037878651","0,02982050747","-0,02919748664","0,09056768305"
"1,579144083","-0,08970746177","0,09210808184","0,01915898681","0,1299938238"
"1,589099083","-0,0763100015","0,08309445273","-0,008240481019","0,1131185658"
"1,599053083","-0,08272894694","0,07754763778","-0,1201129192","0,1651811979"
"1,609007083","-0,1198726991","0,1028305597","-0,2162838292","0,2678101619"
"1,618962083","-0,1369610042","0,102054086","-0,2108225298","0,2713291216"
"1,628916083","-0,146933467","0,09918657493","-0,1591132629","0,2382109376"
"1,638870083","-0,1621094127","0,1089807342","-0,1589185506","0,251816139"
"1,648825083","-0,1125402085","0,09157901846","-0,1219062603","0,1895076554"
"1,658779083","-0,07671128495","0,08618010152","-0,0479050684","0,124926085"
"1,668733083","-0,05297348974","0,1108074775","0,01833862245","0,1241804846"
"1,678688083","-0,04068324544","0,119190192","0,009899920821","0,1263306644"
"1,688642083","-0,06365422399","0,09436178148","-0,02457935572","0,1164480604"
"1,698596083","-0,1048645776","0,08452318333","-0,08869466007","0,1612683816"
"1,708551083","-0,09008112626","0,08848379485","-0,1035530198","0,1633010078"
"1,718505083","-0,04795567422","0,1130528814","-0,06556775272","0,139211461"
"1,728459083","-0,01282333679","0,09866054479","-0,07371000051","0,1238204557"
"1,738414083","0,006204325212","0,09669441853","-0,1350385219","0,1662038105"
"1,748368083","-0,02456659234","0,1060460167","-0,2122743934","0,238557526"
"1,758322083","-0,03656714366","0,09508968674","-0,2789121866","0,2969363776"
"1,768277083","-0,06590471679","0,1068121481","-0,3141714817","0,3383134443"
"1,778231083","-0,1057621892","0,1233092631","-0,3541348618","0,3896181661"
"1,788186083","-0,08154700538","0,146470669","-0,4125269115","0,445288697"
"1,798140083","-0,02977710103","0,1271131692","-0,2451468551","0,2777434322"
"1,808094083","0,09504396882","0,04563474074","0,04852662742","0,1160634272"
"1,818049083","0,2231178356","-0,01592949651","0,2388704538","0,3272528245"
"1,828003083","0,1960826128","0,03706930071","0,2670183653","0,3333486635"
"1,837957083","0,1003942442","0,0695134173","0,1915881139","0,2271940247"
"1,847912083","0,09313108876","0,0339182362","0,1013111973","0,1417314543"
"1,857866083","0,08312387154","0,04688542362","0,07211897314","0,1196200955"
"1,867820083","0,03288060667","0,08562443331","0,1597383302","0,1841982954"
"1,877775083","0,007204075749","0,07176938273","0,1995093369","0,2121478695"
"1,887729083","0,01448794772","0,03543683119","0,1780670124","0,1821360221"
"1,897683083","-0,02428779893","0,03928111967","0,1470317459","0,1541143661"
"1,907638083","-0,02197455819","0,05062596057","0,1817028111","0,1898993962"
"1,917592083","0,04198357483","0,04492353659","0,2559074861","0,263190779"
"1,927546083","0,06661542758","0,07807213303","0,2585755706","0,2781981288"
"1,937501083","0,04402247152","0,1310920168","0,2431213796","0,2796982304"
"1,947455083","0,004469995368","0,1075612861","0,1622274899","0,1946976364"
"1,957409083","0,007042304305","0,06562023148","0,0404434365","0,07740336159"
"1,967364083","-0,07117607307","0,09314490281","-0,0003461551666","0,1172268149"
"1,977318083","-0,1444264368","0,1111321076","0,02039450347","0,1833719628"
"1,987272083","-0,1147968866","0,1121004065","0,03649773538","0,1645506335"
"1,997227083","-0,0533701411","0,1088290355","0,05186538756","0,1318413796"
"2,007181083","-0,02733982166","0,1359923855","0,03761104524","0,1437219033"
"2,017136083","-0,05182976522","0,1422423647","-0,02603531241","0,1536133209"
"2,027090083","-0,1077297042","0,1232867148","-0,03880738556","0,1682596695"
"2,037044083","-0,09076716911","0,1100554159","-0,03886468828","0,1478557999"
"2,046999083","-0,00982863504","0,1114226411","-0,06227050781","0,1280204014"
"2,056953083","0,001774278204","0,1340047707","-0,0979116261","0,1659732303"
"2,066907083","0,04616841337","0,1040347938","-0,04910257816","0,1239589605"
"2,076862083","0,04602101329","0,0632919433","-0,08757082522","0,1174412755"
"2,086816083","-0,02738687804","0,0636545803","-0,2015032375","0,2130856668"
"2,096770083","-0,1049356579","0,1095557714","-0,2352071732","0,2798863585"
"2,106725083","-0,1794223422","0,09196833339","-0,2088941181","0,290322758"
