"t","Luma","Luminance","Shutter Speed (s)","Aperture (f/N)","ISO"
2.314286663E-1,1.804384625E-2,2.477717527E1,1.502300000E-5,1.600000024E0,5.000000000E1
2.355912493E-1,1.807015697E-2,2.484696015E1,1.502300000E-5,1.600000024E0,5.000000000E1
2.397537913E-1,1.791051560E-2,2.476151512E1,1.502300000E-5,1.600000024E0,5.000000000E1
2.439164163E-1,1.810330414E-2,2.479017490E1,1.502300000E-5,1.600000024E0,5.000000000E1
2.480789993E-1,1.787294618E-2,2.474327708E1,1.502300000E-5,1.600000024E0,5.000000000E1
2.522415833E-1,1.786284381E-2,2.475644747E1,1.502300000E-5,1.600000024E0,5.000000000E1
2.564041663E-1,1.782232786E-2,2.476772299E1,1.502300000E-5,1.600000024E0,5.000000000E1
2.605667913E-1,1.802922009E-2,2.480437534E1,1.502300000E-5,1.600000024E0,5.000000000E1
2.647293743E-1,1.791156547E-2,2.478176920E1,1.502300000E-5,1.600000024E0,5.000000000E1
2.688919163E-1,1.795923890E-2,2.474976588E1,1.502300000E-5,1.600000024E0,5.000000000E1
2.730544993E-1,1.790798837E-2,2.472387678E1,1.502300000E-5,1.600000024E0,5.000000000E1
2.772170833E-1,1.793692950E-2,2.475629323E1,1.502300000E-5,1.600000024E0,5.000000000E1
2.813797083E-1,1.791461846E-2,2.479469998E1,1.502300000E-5,1.600000024E0,5.000000000E1
2.855422913E-1,1.797975811E-2,2.480418531E1,1.502300000E-5,1.600000024E0,5.000000000E1
2.897048333E-1,1.787505084E-2,2.476093399E1,1.502300000E-5,1.600000024E0,5.000000000E1
2.938674583E-1,1.817265476E-2,2.482062488E1,1.502300000E-5,1.600000024E0,5.000000000E1
2.980300413E-1,1.792566752E-2,2.476001135E1,1.502300000E-5,1.600000024E0,5.000000000E1
3.021926243E-1,1.792998166E-2,2.472144761E1,1.502300000E-5,1.600000024E0,5.000000000E1
3.063551243E-1,1.788778363E-2,2.466319715E1,1.502300000E-5,1.600000024E0,5.000000000E1
3.105177493E-1,1.790062287E-2,2.475228318E1,1.502300000E-5,1.600000024E0,5.000000000E1
3.146803743E-1,1.799554388E-2,2.479730266E1,1.502300000E-5,1.600000024E0,5.000000000E1
