Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
"0,748020625","-0,7976911926","-0,3652404785","9,735455017","9,774906457"
"0,7579736251","-0,7988887024","-0,3652404785","9,747729492","9,787229129"
"0,767926625","-0,8146060181","-0,3715274048","9,748927002","9,789953691"
"0,7778786251","-0,8114625549","-0,3737727356","9,750872955","9,791715934"
"0,787831625","-0,8196954346","-0,3766168213","9,754465485","9,796087879"
"0,7977836251","-0,8164022827","-0,3993695068","9,737550659","9,779872266"
"0,807736625","-0,8155041504","-0,4017645264","9,731712799","9,77408286"
"0,8176886251","-0,807121582","-0,4140390015","9,735754395","9,777923459"
"0,827641625","-0,8030799866","-0,426612854","9,740394745","9,782751442"
"0,8375946251","-0,809815979","-0,4364923096","9,727371826","9,770777354"
"0,847546625","-0,8092172241","-0,4408332825","9,718989258","9,762577462"
"0,8574996251","-0,8111631775","-0,4498146057","9,722432098","9,766575899"
"0,8674516249","-0,7987390137","-0,4668791199","9,71524704","9,759200027"
"0,8774046251","-0,7943980408","-0,4757107544","9,703870697","9,747947244"
"0,8873576249","-0,7936495972","-0,4906796265","9,714199219","9,758909398"
"0,8973096251","-0,7960446167","-0,4966671753","9,714797974","9,760003329"
"0,9072626249","-0,7949967957","-0,5072950745","9,714947662","9,76061352"
"0,917214625","-0,7878117371","-0,5191204834","9,722132721","9,767804157"
"0,9271676249","-0,7891589355","-0,520916748","9,716145172","9,762049124"
"0,937119625","-0,7852670288","-0,5310955811","9,717941437","9,764071517"
"0,9470726249","-0,7860154724","-0,5400769043","9,721234589","9,767901787"
"0,957025625","-0,7893086243","-0,5454656982","9,717941437","9,765189537"
"0,9669776249","-0,7818241882","-0,5465135193","9,715696106","9,762411429"
"0,976930625","-0,7884104919","-0,5519023132","9,704469452","9,752072324"
"0,9868826249","-0,7843688965","-0,5584886169","9,713301086","9,760909901"
"0,996835625","-0,7812254333","-0,5685177612","9,717043304","9,764960635"
"1,006788625","-0,7875123596","-0,5634283447","9,713600464","9,761744782"
"1,016740625","-0,7806266785","-0,5574407959","9,714498596","9,761741711"
"1,026693625","-0,7813751221","-0,570763092","9,704918518","9,753038554"
"1,036645625","-0,7833210754","-0,5774990845","9,718839569","9,767442842"
"1,046598625","-0,7900570679","-0,569715271","9,717791748","9,766485659"
"1,056550625","-0,7897576904","-0,5641767883","9,719737701","9,768076251"
"1,066503625","-0,7870632935","-0,5638774109","9,739496613","9,787503289"
"1,076456625","-0,7940986633","-0,5692662048","9,736802216","9,785702534"
"1,086408625","-0,7924520874","-0,5664221191","9,738448792","9,787042413"
