"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.386810833E-1,2.673440552E-1,4.490362244E0,1.315105225E1,1.389910073E1
6.486090833E-1,2.715353394E-1,4.246070251E0,1.373708359E1,1.438090086E1
6.585380833E-1,2.421963501E-1,4.064198456E0,1.417028275E1,1.474358441E1
6.684660833E-1,8.876541138E-2,3.832180939E0,1.455019272E1,1.504664741E1
6.783950833E-1,-7.993377686E-2,3.480562134E0,1.467323685E1,1.508060283E1
6.883230833E-1,-1.640588379E-1,3.154689789E0,1.463386871E1,1.497094174E1
6.982520833E-1,-1.351689148E-1,2.948119354E0,1.452669159E1,1.482344248E1
7.081800833E-1,-4.595443726E-2,2.769241333E0,1.428973434E1,1.455566271E1
7.181090833E-1,6.990463257E-2,2.659669189E0,1.392793671E1,1.417977954E1
7.280370833E-1,1.416055298E-1,2.819985809E0,1.354114105E1,1.383238494E1
7.379650833E-1,2.222877502E-1,2.968027954E0,1.333801346E1,1.366606032E1
7.478940833E-1,3.480262756E-1,3.019520874E0,1.323308167E1,1.357766839E1
7.578220833E-1,4.810995483E-1,3.074007568E0,1.318847443E1,1.355052903E1
7.677510833E-1,6.032455444E-1,3.067570953E0,1.325822937E1,1.362184065E1
7.776790833E-1,6.902146912E-1,2.957400055E0,1.341674973E1,1.375615443E1
7.876080833E-1,7.499404907E-1,2.817141724E0,1.366717896E1,1.397463698E1
7.975360833E-1,6.185137939E-1,2.583028564E0,1.392389511E1,1.417495859E1
8.074650833E-1,4.686753845E-1,2.204016724E0,1.410546753E1,1.428431169E1
8.173930833E-1,2.529739380E-1,1.833088074E0,1.422821228E1,1.434803932E1
8.273220833E-1,1.975891113E-2,1.496587830E0,1.415666107E1,1.423556175E1
8.372500833E-1,-1.652563477E-1,1.244512024E0,1.393152924E1,1.398798151E1
8.471780833E-1,-2.100132751E-1,1.058898010E0,1.366074234E1,1.370332995E1
8.571070833E-1,-1.678010559E-1,1.008153534E0,1.343471237E1,1.347353062E1
8.670350833E-1,-4.355941772E-2,1.090332642E0,1.322320221E1,1.326814981E1
8.769640833E-1,-6.466552734E-2,1.196761322E0,1.298340088E1,1.303860106E1
8.868920833E-1,-2.281256104E-1,1.248553619E0,1.271291336E1,1.277611418E1
8.968210833E-1,-3.194357300E-1,1.343007202E0,1.251277954E1,1.258869967E1
9.067490833E-1,-1.881587219E-1,1.460812225E0,1.225142303E1,1.233964110E1
9.166780833E-1,5.987548828E-3,1.513802032E0,1.195114746E1,1.204664095E1
9.266060833E-1,1.721420288E-1,1.470841370E0,1.174113419E1,1.183415562E1
9.365340833E-1,1.634600830E-1,1.408870239E0,1.168140839E1,1.176719748E1
